    Trip #       VIP     Stops  tripDist  tripCost totalDist totalCost
         1         0         1      20.4     68.04
         2         1         2    13.067   63.9743
         3         0         4   40.7163   165.862
         4         0         3   25.8324   112.164
         5         0         5   39.2162   176.962
         6         1         7   51.3919   238.619
         7         0         2   13.6451   65.4772
         8         0         1      20.2     67.52
         9         1         4   30.1399   138.364
        10         1         5    33.707   162.638
        11         0         3   30.9179   125.386
        12         0         2   25.2289   95.5951
        13         0         5    39.461   177.599
        14         0         4   26.4572   128.789
        15         0         3   30.3889   124.011
        16         0         4   38.9181   161.187
        17         0         5   41.9112   183.969
        18         1         4   46.7528   181.557
        19         0         3   30.4693    124.22
        20         0         3   25.0097   110.025
        21         0         4   35.7585   152.972
        22         1         5   47.8591   199.434
        23         1         1   20.1792   67.4659
        24         1         2   25.0127   95.0331
        25         1         3    23.856   107.026
        26         0         2   28.9587   105.293
        27         0         3   31.2648   126.289
        28         0         4   34.7938   150.464
        29         0         4   41.6266   168.229
        30         0         2   28.3017   103.585
        31         0         1   20.1534   67.3989
        32         1         4   32.9211   145.595
        33         1         6   37.3538    187.12
        34         0         3   21.7513   101.553
        35         0         1   20.1534   67.3989
        36         1         3   29.4226   121.499
        37         0         2   21.3048   85.3925
        38         0         1   9.21303   38.9539
        39         1         4    26.547   129.022
        40         1         4   34.9182   150.787
        41         0         3   31.6961    127.41
        42         0         2   32.5404   114.605
        43         0         2   28.4023   103.846
        44         0         2   19.8702   81.6624
        45         0         4   39.6929   163.202
        46         1         5    38.927    176.21
        47         1         2   11.9285    61.014
        48         0         4   38.3385    159.68
        49         0         1   20.1534   67.3989
        50         0         1    20.001   67.0026
        51         1         3   32.7985   130.276
        52         1         2   21.0794   84.8064
        53         1         3   32.9824   130.754
        54         0         5   33.8998    163.14
        55         0         4   34.9408   150.846
        56         0         3   38.3001    144.58
        57         0         2   33.3596   116.735
        58         0         1   9.84073   40.5859
        59         0         4   36.1177   153.906
        60         1         3   25.6745   111.754
        61         0         2   21.0539     84.74
        62         1         4   33.7679   147.797
        63         1         3   24.7022   109.226
        64         0         2   19.5737   80.8915
        65         0         2   19.0452   79.5175
        66         0         3   39.5428   147.811
        67         0         4   33.2279   146.393
        68         1         2   17.3707   75.1639
        69         0         1   20.1534   67.3989
        70         0         2   24.8387   94.5807
        71         0         3   26.1732    113.05
        72         1         3   36.9964   141.191
        73         0         2    36.475   124.835
        74         1         2   13.5262   65.1681
        75         1         3   27.0368   115.296
        76         0         2   32.1448   113.577
        77         0         1   15.4674   55.2152
        78         0         3    27.275   115.915
